
[24-10-2019 14:37:21] : The cast to value type 'System.DateTime' failed because the materialized value is null. Either the result type's generic parameter or the query must use a nullable type..    [JobLeather_leatherManager]     [GetJob_LetherCode]
[24-10-2019 15:46:02] : The 'jobsheet_pair_Code_id' property on 'IssueSlip_MaterialDetails' could not be set to a 'System.String' value. You must set this property to a non-null value of type 'System.Int32'. .    [IssueSlipManager]     [Get]

[24-10-2019 15:46:17] : The 'jobsheet_pair_Code_id' property on 'IssueSlip_MaterialDetails' could not be set to a 'System.String' value. You must set this property to a non-null value of type 'System.Int32'. .    [IssueSlipManager]     [Get]

[24-10-2019 15:46:20] : The 'jobsheet_pair_Code_id' property on 'IssueSlip_MaterialDetails' could not be set to a 'System.String' value. You must set this property to a non-null value of type 'System.Int32'. .    [IssueSlipManager]     [Get]

[24-10-2019 15:47:44] : The 'jobsheet_pair_Code_id' property on 'IssueSlip_MaterialDetails' could not be set to a 'System.String' value. You must set this property to a non-null value of type 'System.Int32'. .    [IssueSlipManager]     [Get]

[24-10-2019 15:47:46] : The 'jobsheet_pair_Code_id' property on 'IssueSlip_MaterialDetails' could not be set to a 'System.String' value. You must set this property to a non-null value of type 'System.Int32'. .    [IssueSlipManager]     [Get]

[24-10-2019 15:47:48] : The 'jobsheet_pair_Code_id' property on 'IssueSlip_MaterialDetails' could not be set to a 'System.String' value. You must set this property to a non-null value of type 'System.Int32'. .    [IssueSlipManager]     [Get]

[24-10-2019 19:20:46] : Object reference not set to an instance of an object..    [IssueSlip_SingleManager]     [MultipleIssuePost]

[24-10-2019 21:14:09] : Could not find stored procedure 'PinCard'..    [IssueSlip_SingleManager]     [GetOpeningMaterialList]
